sample size,128
realizations,10
r0-,1.0
r0+,10.0
r0_d,0.1
mu,0.0551
seed,729735257



r0,log10 r0,MLE r,MLE log10 r,MLE s^,MLE s,MLE_EM r,MLE_EM log10 r,MLE_EM s^,MLE_EM s,MOM r,MOM log10 r,MOM s^,MOM s,Failures,Successes,Failure Rate
3.1000000000000005,0.49136169383427275,1.0010010744435747,4.3454363782520174E-4,NaN,0.0,7.106932302305441,0.6607928960530265,0.3385548794820027,0.3711735004526716,1.0621853650100002,0.02620031333317873,0.0,0.0,0.0,10.0,0.0
9.610000000000001,0.9827233876685455,1.0010010744435747,4.3454363782520174E-4,NaN,0.0,122.78664317384823,1.1803835145005614,0.8381270718401937,0.7857623536410763,1.0621853650100002,0.02620031333317873,0.0,0.0,2.0,10.0,0.16666666666666666
