sample size,16
realizations,10
r0-,1.0
r0+,10.0
r0_d,0.1
mu,0.0551
seed,729735257



r0,log10 r0,MLE r,MLE log10 r,MLE s^,MLE s,MLE_EM r,MLE_EM log10 r,MLE_EM s^,MLE_EM s,MOM r,MOM log10 r,MOM s^,MOM s,Failures,Successes,Failure Rate
3.1000000000000005,0.49136169383427275,1.0010010744435747,4.3454363782520174E-4,NaN,0.0,2.019702437097647,0.29627155941647554,0.2808496839414651,0.09676188611587119,1.0621853650100002,0.02620031333317873,0.0,0.0,5.0,10.0,0.3333333333333333
9.610000000000001,0.9827233876685455,1.0010010744435747,4.3454363782520174E-4,NaN,0.0,2.0389071682252147,0.3021969906048051,0.28657732308233796,0.08586765573370392,1.0621853650100002,0.02620031333317873,0.0,0.0,24.0,10.0,0.7058823529411765
